ticker,date,time,headline
tsla,Jan-02-19,10:19AM,"Tesla stock plunges on weak year-end sales, surprise $2,000 price cut"
tsla,Jan-02-19,10:15AM,"Stocks Sell Off But Try To Recover; Apple, Netflix, Tesla Under Fire"
tsla,Jan-02-19,09:38AM,Stocks Dive As China Tariffs Bite; Dow Jones Drops 350 Points
tsla,Jan-02-19,09:33AM,Dow tumbles by more than 350 points at the open as China slowdown spooks Wall Street to start 2019
tsla,Jan-02-19,09:26AM,"Tesla's stock tumbles after deliveries miss, price cuts"
tsla,Jan-02-19,09:19AM,Norway's electric cars zip to new record: almost a third of all sales
tsla,Jan-02-19,09:13AM,"Tesla cuts prices on all models by $2,000 to offset reduction in federal tax credit"
tsla,Jan-02-19,09:08AM,"Tesla shares dive after price cut, production numbers"
tsla,Jan-02-19,08:56AM,"Hedge fund all-star David Einhorn posts his worst year ever, losing 34% in 2018"
tsla,Jan-02-19,08:47AM,"Tesla produced 61,394 Model 3s in fourth quarter"
tsla,Sep-21-18,09:56PM,Billionaire investor questions Elon Musk getting 'a pass' after bombshell tweets
tsla,Sep-21-18,09:30PM,Broadcoms Stock Looks Like a Winner
tsla,Sep-21-18,05:30PM,"SHAREHOLDER ALERT:Â  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline  TSLA"
